标题,昵称,地区,评论内容
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,饿肚子的猫咪V,未知,单独的ai眼镜不太划得来，最好是蓝牙或星闪链接手机，靠手机的算力来运行，眼镜儿变成只是显示信息，这样首先大幅度省电，提升续航，另一方面也降低眼镜成本，加速普及。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,命运2x假面骑士,未知,如果ai眼睛能代替现在的近视镜可自主调节度数，那可就真神了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,职场老姐爱吐槽,未知,AI眼镜如果和手机合并就完美了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,依然晴天qqqq,未知,戴久了会不会像近视镜一样，眼睛越来越凸
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,Java仙人,未知,rokid一用一个不吱声[藏狐]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,缺点能接受,未知,期待大疆ai眼镜
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,cafe179,未知,对于近视的我来讲，是不是可以配合适的镜片度数啊?
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,空白浪沫Zz,未知,这怎么听歌的，骨传导吗？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,hgjg131,未知,可惜对本来就近视的人群不方便
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,夏目ゴリラ,未知,有个疑问这些ai眼镜如果录制视频途中没电，素材会丢失吗
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,MCV09,未知,雷朋新出的meta gen2怎么没有人测试？meta2这些数据都摸透了，短板是续航只有4小时，meta gen2说是翻倍了但是全b站一个视频都没有
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,汪有明亮的心,未知,期末考试能用吗[doge_金箍]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,柒柒的椰奶,未知,不插线看剧可以用多久？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,科夫纳,未知,未来的玩具
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,513爱你,未知,是不是可以实现地图ar导航那种
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,7oveKi,未知,英语考试的时候可以？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,冷眼看人类,未知,教育内卷创造大量近视眼，ai眼镜对近视眼不友好，可能还强化近视(?)。其实还有许多。社会急需系统协调。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,y3t4ozzz,未知,能帮我考试吗？[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,云鹰乂飞将,未知,乐奇的导航交互挺有意思的，小米挺小巧的，我感觉各有特色
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,丘比剪刀特,未知,这个产品品类有点意思。但目前太多的不成熟了。再等个3代，带有显示屏，再说。能够查看些简单的信息。比如微信聊天，电话来电，导航，视频等那就更好了。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,pineapple_zz,未知,感觉有点重量，不过确实方便，可以拍照翻译这两点就很吸引人了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,女蛮好吃,未知,我觉得ai眼镜还有很长的路要走，至少标配镜片显示吧
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,码小,未知,感觉就拍照拍视频实用点
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,好哥哥阿肆,未知,ai眼睛感觉完全可以代替vr眼镜啊
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,努力学习的小汪汪,未知,ai眼镜，我还以为我看错了 还以为是ar世界变换太快
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,星星可以摘吗,未知,那眼镜充电一次可以用多久
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,碎蜗,未知,长时间佩戴会不会压鼻梁、不舒服？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,橘-子a,未知,可以翻译外语挺不错的
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,小趴菜嘿嘿嘿,未知,眼镜边冲边用 看着是有点奇怪，被拴在插座上了[笑哭][笑哭]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,枫hacker,未知,可以解锁电动车之类的嘛，就比如说，乐奇帮我解锁一下前面的电动车
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,叶卡喵喵,未知,早着呢，10几年前，谷歌眼镜年年上次热搜，吹一波，但10几年后，谷歌眼镜早凉透了，Ai眼镜得再过5年后，30年，但35年才能搞好
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,优里加特林,未知,轻度，电力，使用场景都不成熟，说白了就是半成品，现在买就相当于小白鼠给研发提供充足弹药，当然不是AR不好，而是现在不好
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,怪盗懒羊羊,未知,真心感受到了科技改变生活这句话，但是AI眼镜还有很长的路要走，目前来看嘛…算是一个新奇事物…实用性如何有待评价
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,芒果蛋挞_2199,未知,这个重量多重呀！戴久了会不会晕啊？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,背刀客88,未知,感觉以后ai眼镜会代替近视眼镜，这是一个趋势[吃瓜][吃瓜]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,不忘初心易受,未知,这个佩戴感受重吗，压鼻梁吗？
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,玩偶先生请耐心,未知,考试能用吗
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,蛮牛出笼,未知,如果未来能自主调节自适应用户的近视远视度数就牛逼了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,汪汪小狗狗,未知,也许不久之后会出台规范AI设备使用的条例了，尤其是录像和录音这两个方面
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,蒲萤玖依持,未知,请大家帮帮忙
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,猫猫头选我,未知,我因为近视一直在找有其他功能性的眼镜，但是我又是高低耳戴上眼镜是歪的，也没有配套的配件真的很难受
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,冬雪几时来,未知,有时间我要去体验一下
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,凯凯boos,未知,ai眼镜这个全人类语言互通的未来   就足够震撼力[打call][打call][打call][打call][打call][打call][打call][打call][打call][打call][打call]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,雾绕-山空,未知,ai眼镜现在雀食是个不错的科技设备，但是现在还是用不到日常上面，也就是体验体验，现在对于大部分人来说，还是手机更实用，甚至相比于眼镜，手表的实用性也是比眼镜高的，但是现在的ai眼镜，看起来还是不错的，带上眼镜不影响颜值[doge]
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,咩咩云野,未知,小米你又出息了
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,不厨柚子厨茉子,未知,ai眼镜还是很有吸引力的，在各种需求方面，之前的印象都是纯花瓶
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,冻干草莓真好吃,未知,感觉戴这种眼镜会让近视度数增加的更快
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,一个细节蛙,未知,ai眼镜功能丰富比如翻译，导航，健康监测而且还能帮助演讲者脱稿演讲比如小米ai眼镜佩戴舒适但是ai眼镜不得不说隐私方面还是有点隐患
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,闲人ol,未知,不能使用一整天就不考虑，近视的不想随身带两幅眼镜
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,里浪小白龙,未知,如果可以配度数就更好啦
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,地球Online职业玩家,未知,ai眼镜不是什么必要的东西，它的功能手机基本都能满足，要说方便也不见得。对于近视远视的用户，配个带度数的ai眼镜，基本上就只能自己用了。
【横评】AI眼镜是玩具还是真未来？一个月真实体验告诉你,远方的山11,未知,支付功能微信不能用吧？
