标题,昵称,地区,评论内容
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,阿琳阿琳～,湖北,想问下眼镜续航怎么样？在武汉逛一天，要是中途没电会很麻烦
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,淘宝创意广告,黑龙江,这个不错ai绝顶好[玫瑰][玫瑰][玫瑰]我喜欢[赞][赞][赞][赞]已经入手了[杀马特][杀马特]
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,南开景美,北京,连上电脑办公，分屏处理文件效率特别高
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,桃柔信息,江苏,看文件特别清楚，临时办公很方便
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,凯睿美高Don,广东,想问下对于小语种的翻译实力😂英语不算哈，英语翻译太成熟了
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,梅林南开,甘肃,可以多人一起看，和朋友聚会超开心
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,一只燕燕,北京,支持好几种语言，外国朋友也能用
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,zxczxc,江苏,开会想睡觉了能让它镜片变黑吗
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,奇,河南,看照片特别清楚，翻相册超爽
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,花卉节奏,北京,看新闻特别方便，大屏幕看着不费眼
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,奇墨说史,广东,有防蓝光设计，看久了眼睛也不会觉得酸
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,87344545978,河南,可视角度大，低头抬头都能看得清
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,大狂风,浙江,不错[赞][赞]
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,奔跑,北京,出去旅游戴着，在酒店看剧超爽
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,宝贝晴晴的日常,河南,Rokid 眼镜特别轻，戴着看好久电视，鼻梁都不会觉得难受
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,艺佳传媒,广东,看东西就像对着超大屏幕，比用手机追剧爽太多了
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,托腮的海獭,广东,可以多人一起看，和朋友聚会超开心
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,市字琬百货,江苏,画面特别清楚，颜色和真的一样
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,皮皮虾米,北京,本身戴眼镜的人用也不会有重影，看得很舒服
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,雪莲来,甘肃,连上相机，能实时看到拍的画面
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,阿雅塑身,甘肃,上班路上戴着，在地铁里追剧特别沉浸
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,孙小格—来了,河北,方便，清洁
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,活着服,江苏,不用联网也能用，提前下好视频随时看
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,秋梅，一个人,甘肃,看电影画面不会变形，边上的画面也很清楚
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,你笑一下嘛，,甘肃,眼镜腿能折起来，收纳不占地方
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,无忧...,北京,眼镜腿软软的，戴久了耳朵也不会勒得疼
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,1906305627,河南,和手机连得特别快，投屏一点都不卡
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,美兰,广东,连上充电宝，在外面也能随时充电
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,风中的云,重庆,[比心][比心][比心][比心][比心]
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,周六影视,广东,不怕光线干扰，开灯看电影也不影响
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,cb200126,河南,重量不到 100 克，戴一整天脸都不会压出印子
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,zlj345879,河南,连上打印机，看文件能直接打印
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,小琳子,四川,[赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞][赞]
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,少年中国梦,河南,充电速度快，半小时就能充一大半
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,怀旧音乐...,山东,内存够大，存十几部电影没问题
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,不愧高度,江苏,眼镜腿能调整长度，不管头大头小都能戴好
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,小吴宝宝,江苏,看文件特别清楚，临时办公很方便
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,镇康县宸途百货店,江苏,能自动调节亮度，光线变了也不用手动调
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,小安琪💗,北京,上班路上戴着，在地铁里追剧特别沉浸
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,空白Q,江苏,操作逻辑简单，小孩子也能轻松上手
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,你的初恋,北京,看电影画面不会变形，边上的画面也很清楚
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,蓝天白云，。,山东,可以多人一起看，和朋友聚会超开心
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,空图吗,江苏,支持云存储，视频不用占手机内存
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,风中的云,重庆,[比心][比心][比心][比心]
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,伯萍月,河南,本身戴眼镜的人用着也不压鼻梁，特别舒服
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,永德县旧少汉,甘肃,能用手势控制，挥挥手就能切换画面，超酷
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,心律紊乱酒,福建,支持 3D 效果，看电影就像在电影院一样
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,36921873938,北京,能自动调节亮度，光线变了也不用手动调
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,南漳县界贝赛,甘肃,能设置定时关闭，睡前看片不怕熬夜
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,钟祥大信,甘肃,支持分屏，能一边追剧一边聊微信
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,风中的云,重庆,[比心][比心][比心][赞]
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,永德炎一霞,甘肃,充电接口很常见，忘带充电线也能借到
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,唐老师聊生活,山东,操作简单，家里老人学两次就能学会用
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,啊啊啊啊啊,重庆,[赞][赞][赞][赞]
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,襄城区军哥百货,甘肃,不用联网也能用，提前下好视频随时看
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,擦不过分,江苏,看动画片特别清楚，颜色鲜艳还不刺眼
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,不离不弃,甘肃,屏幕亮度能调，大太阳下也看得清
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,辣妈雪雪,甘肃,画面颜色很正，看风景片特别真实
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,加油！明天会更好！,江苏,操作基本没延迟，玩互动游戏超流畅
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,大米小米,吉林,四千亿光年
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,洪福齐运,广东,特别轻薄，戴久了感觉跟没戴一样
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,啊啊啊啊啊,重庆,[赞][赞][赞][赞][赞]
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,太阳影视,甘肃,眼镜框很结实，日常弯折也不会断
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,市节震百货,江苏,操作界面一看就懂，找功能不费劲
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,慕贤居士,湖北,考试能用吗
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,永德蔷满薇,甘肃,戴久了也不会弄乱发型，出门不用总整理
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,龙华驭域,北京,连上无人机，航拍画面超震撼
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,牡丹花开,北京,画面细节很丰富，小字也看得清
武汉首次开张！Rokid Glasses眼镜到底好在哪？#AI眼镜 #Rokid #数码科技,西南民大,江苏,画面过渡自然，亮的暗的切换不刺眼
